ticket_id,ticket_description,sentiment,topic,intent,emotion,confidence,reason
1,"I'm having an issue with the {product_purchased}. Please assist.

Your billing zip code is: 71701.

We appreciate that you have requested a website address.

Please double check your email address. I've tried troubleshooting steps mentioned in the user manual, but the issue persists.",negative,technical_issue,technical_help,frustrated,0.9,"The user reports an unresolved issue despite troubleshooting, indicating frustration and a request for technical help."
2,"I'm having an issue with the {product_purchased}. Please assist.

If you need to change an existing product.

I'm having an issue with the {product_purchased}. Please assist.

If The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",negative,product_quality,technical_help,frustrated,0.9,"The customer reports an intermittent issue with the product and requests assistance, indicating a technical problem causing frustration."
3,"I'm facing a problem with my {product_purchased}. The {product_purchased} is not turning on. It was working fine until yesterday, but now it doesn't respond.

1.8.3 I really I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",negative,technical_issue,technical_help,frustrated,0.95,"Customer reports the product is not turning on and not charging properly, indicating a technical problem and seeking help."
4,"I'm having an issue with the {product_purchased}. Please assist.

If you have a problem you're interested in and I'd love to see this happen, please check out the Feedback. I've already contacted customer support multiple times, but the issue remains unresolved.",negative,product_quality,complaint,frustrated,0.9,"The customer reports an unresolved issue with the product despite multiple contacts with support, indicating frustration and a complaint about product quality."
5,"I'm having an issue with the {product_purchased}. Please assist.


Note: The seller is not responsible for any damages arising out of the delivery of the battleground game. Please have the game in good condition and shipped to you I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.",negative,product_quality,technical_help,frustrated,0.9,"Customer reports an issue with product battery life, indicating a technical problem and frustration."
6,"I'm facing a problem with my {product_purchased}. The {product_purchased} is not turning on. It was working fine until yesterday, but now it doesn't respond. To remove the new {product_purch I've checked for any available software updates for my {product_purchased}, but there are none.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports a product not turning on and has already checked for software updates, indicating a technical problem and seeking help."
7,"I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account?

Solution 1 I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",negative,account_issue,account_help,frustrated,0.95,"User is unable to access their account due to an error and is asking for help to regain access, indicating frustration and an account-related issue."
8,"I'm having an issue with the {product_purchased}. Please assist. (Thanks) I will contact all my suppliers and confirm.

Please try and find out whether their inventory is currently stocked, or any other reason. I am I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",negative,technical_issue,technical_help,frustrated,0.9,Customer reports an unresolved issue with the product despite a factory reset and requests assistance.
9,"I'm having an issue with the {product_purchased}. Please assist. Thank you.

{product_purchased} is not the exact type you might prefer, they use the exact same method for different uses. Please help I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",neutral,technical_issue,technical_help,confused,0.9,"The customer reports an issue after a firmware update and requests assistance, indicating a technical problem and seeking help, with a neutral and confused tone."
10,"My {product_purchased} is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this?

} If we can, please send a ""request"" to dav The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",negative,product_quality,technical_help,frustrated,0.9,"The customer reports a malfunctioning product with intermittent issues and requests help, indicating frustration and a technical problem."
