ticket_id,ticket_description,sentiment,topic,intent,emotion,confidence,reason
1,"I'm having an issue with the {product_purchased}. Please assist.

Your billing zip code is: 71701.

We appreciate that you have requested a website address.

Please double check your email address. I've tried troubleshooting steps mentioned in the user manual, but the issue persists.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an unresolved issue with the product despite troubleshooting, indicating a technical problem and need for help."
2,"I'm having an issue with the {product_purchased}. Please assist.

If you need to change an existing product.

I'm having an issue with the {product_purchased}. Please assist.

If The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",negative,technical_issue,technical_help,frustrated,0.8,"Customer reports an intermittent issue with the product and requests assistance, indicating a technical problem and frustration, but details are limited."
3,"I'm facing a problem with my {product_purchased}. The {product_purchased} is not turning on. It was working fine until yesterday, but now it doesn't respond.

1.8.3 I really I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",negative,product_quality,technical_help,frustrated,0.9,"Customer reports the product is not turning on and not charging properly, indicating a product quality issue and requesting help."
4,"I'm having an issue with the {product_purchased}. Please assist.

If you have a problem you're interested in and I'd love to see this happen, please check out the Feedback. I've already contacted customer support multiple times, but the issue remains unresolved.",negative,technical_issue,complaint,frustrated,0.9,"The customer reports an unresolved issue with the product and multiple contacts with support, indicating frustration and a complaint about a technical problem."
5,"I'm having an issue with the {product_purchased}. Please assist.


Note: The seller is not responsible for any damages arising out of the delivery of the battleground game. Please have the game in good condition and shipped to you I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.",negative,product_quality,technical_help,frustrated,0.9,"Customer reports an issue with battery life of the product, indicating a product quality problem and requesting assistance."
6,"I'm facing a problem with my {product_purchased}. The {product_purchased} is not turning on. It was working fine until yesterday, but now it doesn't respond. To remove the new {product_purch I've checked for any available software updates for my {product_purchased}, but there are none.",negative,product_quality,technical_help,frustrated,0.9,"Customer reports the product is not turning on and is seeking help, indicating a product quality issue and technical help intent with frustration."
7,"I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account?

Solution 1 I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",negative,account_issue,account_help,frustrated,0.9,"Customer reports inability to access account due to 'Invalid Credentials' error and requests help to regain access, indicating a technical account issue and frustration."
8,"I'm having an issue with the {product_purchased}. Please assist. (Thanks) I will contact all my suppliers and confirm.

Please try and find out whether their inventory is currently stocked, or any other reason. I am I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an issue with the product and has tried a factory reset without success, indicating a technical problem and need for help."
9,"I'm having an issue with the {product_purchased}. Please assist. Thank you.

{product_purchased} is not the exact type you might prefer, they use the exact same method for different uses. Please help I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an issue with the product after a firmware update and requests assistance, indicating a technical problem and frustration."
10,"My {product_purchased} is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this?

} If we can, please send a ""request"" to dav The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",negative,product_quality,technical_help,frustrated,0.9,"The customer reports a product malfunction and requests help, indicating a technical issue with product quality. The tone shows frustration due to intermittent problems."
11,"I'm having an issue with the {product_purchased}. Please assist. 1-800-799-0808.

Product Search: What's New in 2-3-4-5? Report Feedback Customer Service is your best I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports a problem with the product not charging properly and requests assistance, indicating a technical issue and frustration."
12,"I'm having an issue with the {product_purchased}. Please assist.

4. It is possible that we cannot find some type of text or a product name to identify someone like Mr. Brown.

5. On the I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",negative,technical_issue,technical_help,frustrated,0.9,"The customer reports an issue with the product and has tried troubleshooting without success, indicating a technical problem and a need for help, with frustration."
13,"I'm having an issue with the {product_purchased}. Please assist.

CQW: Why didn't I send him the invoice? Thanks a lot.

L: He's like the best customer I've met. I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",mixed,technical_issue,technical_help,frustrated,0.75,"The customer reports an issue with the product and asks for assistance, indicating frustration. There is also a positive comment about the customer being the best, which adds a positive tone, resulting in mixed sentiment. The issue relates to a specific feature or application, so the topic is technical_issue. The intent is technical_help as the customer needs help fixing the problem. Confidence is moderate due to some ambiguity in the text."
14,"I've recently set up my {product_purchased}, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?

I can't find the 'Product_IP' field of the I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",negative,technical_issue,technical_help,confused,0.85,"Customer reports a problem with product setup and connectivity, and asks for troubleshooting steps, indicating a technical issue and need for help. The concern about security adds to the confusion but still relates to technical help."
15,"I'm having an issue with the {product_purchased}. Please assist.

Product Name: TPUBASK3E3KQ0


Join Date: Oct 2007 Posts: 11,532

Quote: I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an issue with the product after a firmware update and requests assistance, indicating a technical problem and frustration."
16,"I'm having an issue with the {product_purchased}. Please assist.


Please note, you might have already paid for this product, which means spectators are not buying any of the products from the sale as their donations will go straight I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.",negative,product_quality,technical_help,frustrated,0.9,"Customer reports an issue with the product, specifically a sudden decrease in battery life, indicating a product quality problem and requesting assistance."
17,"I'm having an issue with the {product_purchased}. Please assist.

- Acknowledgement: Thanks to Dan for the tip. When you purchase a new product from my store or from your local retailer, they will also provide I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",negative,technical_issue,technical_help,frustrated,0.9,"The customer reports an issue with the product and requests assistance, indicating a technical problem and frustration."
18,"I'm having an issue with the {product_purchased}. Please assist. Thanks!""

* [0] - [0] - [0] - [0]

If this product is sold and you have not used any I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an unresolved issue with the product and requests assistance, indicating a technical problem and frustration."
19,"I'm having an issue with the {product_purchased}. Please assist. I want to be an active member of our community on YouTube... The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an intermittent issue with the product and requests assistance, indicating a technical problem and frustration."
20,"I'm having an issue with the {product_purchased}. Please assist.

I'm having an issue with the product_purchased}. Please assist. Customer Reviewer: My Husband was able to take an order from Apple I've checked for any available software updates for my {product_purchased}, but there are none.",negative,technical_issue,technical_help,frustrated,0.8,"Customer reports an issue with the product and requests assistance, indicating a technical problem and frustration. The mention of checking for software updates supports a technical issue."
21,"I'm having an issue with the {product_purchased}. Please assist.

"" -name ""Microsoft Surface Pro. ""

"" -version 1.10.2 ""1.10.2""

"" -usage I've checked for any available software updates for my {product_purchased}, but there are none.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an issue with the product and requests assistance, indicating a technical problem and frustration."
22,"I'm having an issue with the {product_purchased}. Please assist.

The email address should change to: customer@julietr.com, as there is a unique id number unique for each product.

You I've tried different settings and configurations on my {product_purchased}, but the issue persists.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an ongoing issue with the product and requests assistance, indicating a technical problem and frustration."
23,"I'm having an issue with the {product_purchased}. Please assist. (And if need be this time, that could help.)

1.3.2.1 Update my version to 3.0 or more. The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an intermittent issue with the product and requests assistance and an update, indicating a technical problem and need for help."
24,"I'm having an issue with the {product_purchased}. Please assist.

I'll take care of those. I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an unresolved technical problem with the product and requests assistance, showing frustration."
25,"I'm having an issue with the {product_purchased}. Please assist. {product_purchased} does not represent the price which you received by the day immediately before the shipment date.

In many cases, this is the I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.",negative,product_quality,complaint,frustrated,0.9,"Customer reports an issue with the product's battery life and price discrepancy, indicating dissatisfaction and a product quality problem."
26,"My {product_purchased} is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this? Thank you,

Thank you for posting.

It took me a I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",negative,product_quality,technical_help,frustrated,0.9,"The customer reports a product malfunction and requests help, indicating a product quality issue and technical help intent with frustration."
27,"I'm encountering a software bug in the {product_purchased}. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available?

On Windows Vista, this is not possible. If you are I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports a software bug causing crashes and has tried a factory reset without success, indicating a technical problem and need for help."
28,"I'm having an issue with the {product_purchased}. Please assist. {{product_purchased}} must be a valid email address for your order and are valid for one week in advance. Please make your purchases as quickly as possible The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an intermittent issue with the product and requests assistance, indicating a technical problem and frustration."
29,"I'm having an issue with the {product_purchased}. Please assist. Thank you.""

A statement from the consumer group had been released by Microsoft late on Tuesday afternoon. ""The purchase of this product was made using a contract with I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports a problem with the product not charging properly and requests assistance, indicating a technical issue and frustration."
30,"I'm having an issue with the {product_purchased}. Please assist. It's not possible to remove the missing content. I've already contacted customer support multiple times, but the issue remains unresolved.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an unresolved technical problem despite multiple contacts with support, indicating frustration and a need for technical help."
31,"I'm having an issue with the {product_purchased}. Please assist.

I'm using a brand new product. What a strange situation.

I've just purchased a brand new one.

What to do? I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an issue with a product and asks for assistance, indicating a technical problem and frustration."
32,"I'm having an issue with the {product_purchased}. Please assist.

The seller has sold the item for $29.89. When we receive your replacement, we will exchange the item for a full refund or exchange immediately upon I've already contacted customer support multiple times, but the issue remains unresolved.",negative,product_quality,complaint,frustrated,0.9,"Customer reports an unresolved issue with the product and multiple contacts with support, indicating frustration and complaint about product quality."
33,I've noticed a software bug in the {product_purchased} app. It's causing data loss and unexpected errors. How can I resolve this issue? I need assistance as soon as possible because it's affecting my work and productivity.,negative,technical_issue,technical_help,frustrated,0.9,"The customer reports a software bug causing data loss and errors, requests help urgently, indicating a technical issue and frustration."
34,"I'm having an issue with the {product_purchased}. Please assist. We hope that every vendor takes the time it takes in to do the following: ""Remove the product from your account - notify consumers, call them, make their I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",negative,account_issue,account_help,frustrated,0.8,"Customer reports an issue related to product and data security, indicating concern about account or data safety, requesting assistance."
35,"I'm having an issue with the {product_purchased}. Please assist.

3-3 We are in, the first day, at the {product_purchased}. Please assist.

3-2 Please assist us I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an issue with the product after a firmware update and requests assistance, indicating a technical problem and frustration."
36,"I've recently set up my {product_purchased}, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue? If you know the answer, please let me know.

Do I I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports product failing to connect to networks and decreased battery life, indicating technical problems and need for help."
37,"I'm having an issue with the {product_purchased}. Please assist. I have to ask for support from you, the customers, before the item's arrival and I can't do that. In the short term, will you pay me I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an unresolved issue with the product despite following troubleshooting steps and requests assistance, indicating a technical problem and frustration."
38,"I've forgotten my password for my {product_purchased} account, and the password reset option is not working. How can I recover my account? I can reset my password by entering the following: My password still valid: password is expired I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",negative,account_issue,account_help,frustrated,0.9,"Customer reports inability to reset password and suspects issue related to recent firmware update, indicating a technical problem with account access."
39,"I'm having an issue with the {product_purchased}. Please assist.

1. Do I need to purchase a refund?

There is a way to purchase a refund from ZEROHITS, but there's not a I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",negative,refund,refund_request,confused,0.8,"Customer is confused about how to purchase a refund and requests guidance, indicating a refund-related issue with some uncertainty."
40,"I'm having an issue with the {product_purchased}. Please assist. I have a new account in the system and a new user. I'm having this issue

Error:

[System.CollectedMessage.ThrowBack I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",negative,technical_issue,technical_help,frustrated,0.85,"Customer reports an issue with the product and requests assistance, indicating a technical problem and frustration."
41,"I've recently set up my {product_purchased}, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?

The next step is to resolve this issue if the user is not I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports a problem with product connectivity and asks for troubleshooting steps, indicating a technical issue and need for help."
42,"I'm facing a problem with my {product_purchased}. The {product_purchased} is not turning on. It was working fine until yesterday, but now it doesn't respond.

If I'd just switched to a The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",negative,product_quality,technical_help,frustrated,0.9,"Customer reports the product is not turning on and is acting up intermittently, indicating a product quality issue and need for technical help with frustration."
43,"I'm having an issue with the {product_purchased}. Please assist.

The product_purchased attribute does not exist on your user's product. This is so that you can configure the {product_purchased} I need assistance as soon as possible because it's affecting my work and productivity.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an issue affecting work and productivity, requesting assistance with a product-related technical problem."
44,"I'm having an issue with the {product_purchased}. Please assist. Thank you.""

The issue occurred after Amazon started a tool to deal with a problem like this (see page 36 of the FAQ): ""The product is not I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",negative,technical_issue,technical_help,frustrated,0.9,"The customer reports a problem with the product after a firmware update and asks for assistance, indicating a technical issue and a need for technical help with frustration."
45,"I'm having an issue with the {product_purchased}. Please assist.

I wanted a picture for my 3DS, but I already bought a lot of items, so I found an online cart: ""Fountain of Dreams Collection I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",negative,technical_issue,technical_help,frustrated,0.85,"Customer reports an issue using the product and requests guidance, indicating a technical problem and need for help."
46,"I'm having an issue with the {product_purchased}. Please assist. Thanks"".

""As a result I'm having an issue with the 1.0 patch. Please assist.""

""All I'm asking is to update I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",negative,technical_issue,technical_help,frustrated,0.9,"The customer reports an issue with the product and requests assistance, indicating a technical problem and frustration."
47,"I'm having an issue with the {product_purchased}. Please assist. We have not yet provided an address or a name for this product. If this website does not exist, please contact us with this information and we will provide it. I need assistance as soon as possible because it's affecting my work and productivity.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an issue affecting work and productivity and requests assistance, indicating a technical problem and frustration."
48,"I'm having an issue with the {product_purchased}. Please assist.


This product is not found on, and should NOT come from, this site.


Not sure about what this product covers?

Product Description I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an issue with the product on multiple devices and requests assistance, indicating a technical problem and frustration."
49,"I'm having an issue with the {product_purchased}. Please assist.

Please. Don't.

Don't see my issue? Please contact me. I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an issue with the product and requests assistance, indicating a technical problem and frustration."
50,"I'm having an issue with the {product_purchased}. Please assist. If you've received a refund, please contact Customer Service. Otherwise, please call us at 303.938.2837. I'm having an issue with the I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",negative,technical_issue,technical_help,frustrated,0.8,"Customer reports an issue with the product and expresses concern about data security, indicating a technical problem and need for assistance, but details are somewhat vague."
51,"I'm encountering a software bug in the {product_purchased}. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available?

There are several packages that run in memory by default. These I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports a software bug causing crashes on multiple devices and asks for updates or fixes, indicating a technical issue and need for help with frustration."
